geoName,coronavirus,mask,sanitizer,toilet paper,state
Alabama,68,27,2,3,AL
Alaska,64,31,2,3,AK
Arizona,67,27,2,4,AZ
Arkansas,67,28,2,3,AR
California,62,32,3,3,CA
Colorado,68,27,2,3,CO
Connecticut,70,25,2,3,CT
Delaware,69,25,3,3,DE
District of Columbia,56,39,2,3,DC
Florida,68,27,2,3,FL
Georgia,66,28,3,3,GA
Hawaii,60,34,3,3,HI
Idaho,71,23,2,4,ID
Illinois,66,28,3,3,IL
Indiana,67,27,3,3,IN
Iowa,68,25,3,4,IA
Kansas,65,29,2,4,KS
Kentucky,67,27,3,3,KY
Louisiana,64,30,3,3,LA
Maine,70,24,2,4,ME
Maryland,69,26,2,3,MD
Massachusetts,66,28,3,3,MA
Michigan,70,25,2,3,MI
Minnesota,69,25,2,4,MN
Mississippi,66,28,3,3,MS
Missouri,65,29,2,4,MO
Montana,71,23,2,4,MT
Nebraska,65,28,3,4,NE
Nevada,65,30,2,3,NV
New Hampshire,67,26,3,4,NH
New Jersey,68,27,2,3,NJ
New Mexico,69,26,2,3,NM
New York,64,30,3,3,NY
North Carolina,65,29,3,3,NC
North Dakota,70,25,2,3,ND
Ohio,69,26,2,3,OH
Oklahoma,64,30,3,3,OK
Oregon,67,28,2,3,OR
Pennsylvania,68,27,2,3,PA
Rhode Island,66,28,3,3,RI
South Carolina,65,29,3,3,SC
South Dakota,69,24,3,4,SD
Tennessee,66,27,3,4,TN
Texas,62,32,3,3,TX
Utah,67,27,2,4,UT
Vermont,69,25,3,3,VT
Virginia,66,28,3,3,VA
Washington,67,28,2,3,WA
West Virginia,69,25,3,3,WV
Wisconsin,70,24,3,3,WI
Wyoming,71,23,2,4,WY