state_name,order_date
AL,4/4/20
AK,3/28/20
AZ,3/31/20
AR,
CA,3/19/20
CO,3/26/20
CT,3/23/20
DE,3/24/20
DC,4/1/20
FL,4/3/20
GA,4/3/20
HI,3/25/20
ID,3/25/20
IL,3/21/20
IN,3/24/20
IA,
KS,3/30/20
KY,3/26/20
LA,3/23/20
ME,4/2/20
MD,3/30/20
MA,3/24/20
MI,3/24/20
MN,3/27/20
MS,4/3/20
MO,4/6/20
MT,3/28/20
NE,
NV,4/1/20
NH,3/27/20
NJ,3/21/20
NM,3/24/20
NY,3/22/20
NC,3/30/20
ND,
OH,3/23/20
OK,
OR,3/23/20
PA,4/1/20
RI,3/28/20
SC,4/7/20
SD,
TN,3/31/20
TX,4/2/20
UT,
VT,3/25/20
VA,3/30/20
WA,3/23/20
WV,3/24/20
WI,3/25/20
WY,